f0,fs
19.999999999999996,1020.4081632653061
20.70643686591324,1056.338028169014
21.43782638410255,1093.2944606413994
22.195049928241435,1132.0754716981132
22.979020003746175,1171.875
23.790681347406387,1213.5922330097087
24.63101206585651,1256.2814070351758
25.501024814260255,1300.1083423618634
26.40176801662835,1346.8013468013469
27.334327129240123,1393.7282229965156
28.29982594869151,1443.001443001443
29.299427966145707,1494.3960149439602
30.334337769418447,1546.3917525773195
31.405802494587533,1602.136181575434
32.515113328875884,1658.374792703151
33.663607066619136,1716.7381974248926
34.852667720193004,1777.2511848341233
36.083728187841444,1840.4907975460123
37.35827198041565,1904.7619047619048
38.67783500910462,1972.3865877712033
40.044007436311695,2042.205582028591
41.458435591907424,2114.164904862579
42.922823957168085,2189.78102189781
44.43893721879047,2267.573696145125
46.008602395458354,2347.417840375587
47.63371103952316,2429.1497975708503
49.31622151645206,2515.723270440252
51.058161364790344,2604.1666666666665
52.8616297394821,2695.4177897574123
54.728799941493406,2790.6976744186045
56.66192203678648,2890.173410404624
58.66332556780088,2994.011976047904
60.73542236070916,3097.573567372225
62.880709431829985,3208.5561497326203
65.10177199670115,3320.420586607637
67.40128658543856,3436.426116838488
69.78202426813543,3556.6093657379965
72.24685399418861,3685.5036855036856
74.79874604957593,3814.367450731087
77.44077563625109,3949.9670836076366
80.17612657796928,4089.9795501022495
83.00809515700949,4234.297812279464
85.94009408641679,4385.964912280701
88.97565662255167,4535.14739229025
92.11844082290209,4694.835680751174
95.37223395428937,4866.1800486618
98.74095705678002,5033.557046979866
102.2286696688033,5217.391304347826
105.8395747191688,5395.6834532374105
109.5780235918788,5586.592178770949
113.44852136983953,5780.346820809248
117.45573226378957,5988.023952095808
121.60448523298841,6198.347107438017
125.89977980443769,6417.1122994652405
130.3467920976484,6644.518272425249
134.95088106221382,6880.733944954129
139.717594935705,7109.004739336493
144.65267792967066,7371.007371007371
149.7620771518005,7633.587786259542
155.05194977258913,7905.138339920949
160.52867044514355,8196.72131147541
166.19883898706777,8474.57627118644
172.06928833369014,8771.929824561403
178.14709277220868,9090.90909090909
184.4395764666866,9404.388714733543
190.95432228416104,9740.25974025974
197.69918093251172,10084.033613445377
204.6822804210905,10434.782608695652
211.91203585552321,10810.81081081081
219.39715957847656,11194.029850746268
227.1466716686211,11583.011583011583
235.16991081043116,12000.0
243.4765455479323,12422.360248447205
252.0765859359453,12875.536480686695
260.9803956028805,13303.769401330377
270.19870423960515,13793.103448275862
279.7426205294477,14285.714285714286
289.6236455349065,14778.32512315271
299.85368655720913,15306.122448979591
310.44507148540924,15873.015873015873
321.41056365232777,16393.44262295082
332.7633772152258,16949.15254237288
344.5171930797573,17595.307917888564
356.6861753863819,18181.81818181818
369.28498857910876,18808.777429467085
382.3288150771404,19480.51948051948
395.8333735707114,20202.0202020202
409.81493796316937,20905.923344947736
424.29035698212596,21582.733812949642
439.2770744833092,22388.059701492537
454.7931504715856,23166.023166023166
470.85728286448347,24000.0
487.48883002444404,24896.265560165975
504.70783408695314,25751.07296137339
522.5350451126656,26666.666666666668
540.9919460926269,27649.769585253456
560.100778836726,28571.428571428572
579.8845707765752,29556.65024630542
600.3671627151177,30612.244897959183
621.5732375564024,31746.031746031746
643.5283500501471,32786.88524590164
666.2589575869345,33898.30508474576
689.7924520811514,35087.71929824561
714.1571929800924,36363.63636363636
739.3825414390052,37735.84905660377
765.4988957032622,38961.03896103896
792.5377277402953,40540.54054054054
820.5316211654382,41958.041958041955
849.5143105073795,43478.260869565216
879.5207218605436,44776.119402985074
910.5870149733895,46511.62790697674
942.7506268233443,48000.0
976.0503167308858,49586.776859504134
1010.5262130671365,51724.137931034486
1046.2198616112519,53571.42857142857
1083.1742756158949,55045.87155963303
1121.433987641091,57142.857142857145
1161.0451032189803,59405.94059405941
1202.055356414076,61224.489795918365
1244.5141673460464,63157.89473684211
1288.4727017442738,65934.06593406593
1333.9839326060248,68181.81818181818
1381.1027040324648,70588.23529411765
1429.885797319516,73170.73170731707
1480.3919993831278,75949.3670886076
1532.682173601492,77922.07792207792
1586.8193331594973,81081.08108108108
1642.8687169838856,83333.33333333333
1700.8978683605346,86956.52173913043
1760.9767163286929,89552.23880597015
1823.1776599501632,92307.69230769231
1887.5756555550765,96774.19354838709
1954.248307069298,100000.0
2023.2759595324148,103448.27586206897
2094.7417959188974,107142.85714285714
2168.7319373792207,111111.11111111111
2245.335547021625,115384.61538461539
2324.644937359705,117647.05882352941
2406.755681555177,122448.97959183673
2491.766728590016,127659.5744680851
2579.780522506615,130434.78260869565
2670.9031258597975,136363.63636363635
2765.2443475293094,139534.88372093023
2862.9178750469578,146341.46341463414
2964.041411597714,150000.0
3068.7368178600245,157894.73684210525
3177.1302588561025,162162.16216216216
3289.3523559893274,166666.66666666666
3405.5383444517965,171428.57142857142
3525.828236191895,181818.18181818182
3650.366988638083,187500.0
3779.304679382419,193548.38709677418
3912.7966870341243,200000.0
4051.0038784613334,206896.55172413794
4194.092802646461,214285.7142857143
4342.2358913890075,222222.22222222222
4495.611667097446,230769.23076923078
4654.404957920817,240000.0
4818.807120479045,250000.0
4989.016270460631,250000.0
5165.237521365346,260869.5652173913
5347.683231679893,272727.2727272727
5536.573260784135,285714.28571428574
5732.135233896501,285714.28571428574
5934.604816377742,300000.0
6144.2259977235135,315789.4736842105
6361.251385588243,315789.4736842105
6585.942510194299,333333.3333333333
6818.570139493628,352941.17647058825
7059.414605461297,352941.17647058825
7308.766141914516,375000.0
7566.925234263856,375000.0
7834.202981618522,400000.0
8110.921471681654,400000.0
8397.414168887823,428571.4285714286
8694.026316250045,428571.4285714286
9001.115351401,461538.46153846156
9319.051337329358,461538.46153846156
9648.217408330744,500000.0
9989.010231710274,500000.0
10341.84048579352,545454.5454545454
10707.133354821444,545454.5454545454
11085.329041326215,545454.5454545454
11476.883296604783,600000.0
11882.26796993007,600000.0
12301.971577160995,600000.0
12736.499889437178,666666.6666666666
13186.376542667085,666666.6666666666
13652.14366854478,666666.6666666666
14134.362547854973,750000.0
14633.614286854396,750000.0
15150.500517543816,750000.0
15685.644122675363,750000.0
16239.689986368012,857142.8571428572
16813.305771236654,857142.8571428572
17407.182722970312,857142.8571428572
18022.036503330044,857142.8571428572
18658.608052569354,1000000.0
19317.664482317407,1000000.0
19999.99999999998,1000000.0
